PRICE,ECOST,RSIZE,FSIZE,SHELVES,S_SQ_FT,FEATURES,BRANDNAM
595,75,12.80000019,5.699999809,3,25.39999962,2,Admiral
685,75,12.89999962,5.699999809,3,26.70000076,1,Admiral
535,67,13.30000019,4.5,1,24,6,Amana
600,67,13.19999981,4.5,3,23.5,5,Amana
605,67,13.30000019,4.5,3,24,3,Amana
665,67,13.30000019,4.5,1,25.60000038,10,Amana
515,67,13.89999962,4.099999905,2,23,1,Frigidaire
485,68,12.89999962,5.099999905,2,21.70000076,3,General Electric
550,68,13.10000038,5.099999905,2,24.39999962,3,General Electric
555,68,13.10000038,5.099999905,2,23.39999962,2,General Electric
610,61,13.10000038,5.099999905,2,23.60000038,3,General Electric
580,60,14.30000019,4.300000191,2,24.70000076,4,Gibson
700,60,14.30000019,4.300000191,4,24.10000038,4,Gibson
505,68,13.10000038,5.099999905,2,23.10000038,2,Hotpoint
555,68,13.10000038,5.099999905,2,23.29999924,2,Hotpoint
500,72,13.89999962,4.099999905,2,25.70000076,1,Kelvintr
675,61,13.19999981,4.800000191,3,23.60000038,3,Kitchen Aid
545,75,12.80000019,5.699999809,3,25.39999962,3,Magic Chef
600,75,12.80000019,5.699999809,3,25.39999962,1,Magic Chef
700,69,12.89999962,5.699999809,3,26.20000076,6,Maytag
760,69,12.80000019,5.699999809,1,28.29999924,5,Maytag
530,75,12.89999962,5.699999809,3,25.20000076,2,Montgomery Ward
550,68,13.10000038,5.099999905,2,23.10000038,2,RCA
580,68,13.10000038,5.099999905,2,23.29999924,1,RCA
530,73,13.69999981,4.400000095,3,21.20000076,2,Sears Kenmore
550,73,13.69999981,4.400000095,3,23.60000038,1,Sears Kenmore
615,60,14.30000019,4.300000191,2,26.20000076,1,Tappan
710,60,14.30000019,4.300000191,4,25.20000076,3,Tappan
555,62,13.19999981,4.800000191,3,23.60000038,1,Whirlpool
590,62,13.19999981,4.800000191,3,23.60000038,2,Whirlpool
460,66,14.19999981,4.400000095,1,25.5,3,Westinghouse
520,66,14.19999981,4.400000095,1,30.20000076,5,Westinghouse
1200,81,12.60000038,7.300000191,5,24,12,Amana
745,90,12.89999962,6.800000191,5,20.60000038,6,General Electric
800,90,12.89999962,6.800000191,5,20.60000038,7,General Electric
840,94,14.69999981,7.400000095,1,28.29999924,5,Whirlpool
880,94,14.69999981,7.400000095,1,28.29999924,5,Whirlpool
